NAME;URL;VALUE;
GTAB%20B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTAB%20B;146.2;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTAB%20B
RROS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RROS.ST;146.16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RROS.ST
THULE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THULE.ST;146.13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THULE.ST
CLX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST;145.85;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST
DMYD-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DMYD-B.ST;145.7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DMYD-B.ST
GUNN.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUNN.ST;145.02;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUNN.ST
HOYLU.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOYLU.ST;144.8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOYLU.ST
HUFV-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUFV-A.ST;144.77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUFV-A.ST
NP3.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NP3.ST;143.84;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NP3.ST
XBRANE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XBRANE.ST;143.42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XBRANE.ST
GETI-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GETI-B.ST;143.04;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GETI-B.ST
KLED.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLED.ST;142.7;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLED.ST
CYXO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CYXO.ST;141.92;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CYXO.ST
SHB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHB-B.ST;141.14;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SHB-B.ST
