NAMESHORT;NAME;URL;VALUE
MRG.ST;MR GREEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MRG.ST;145.78
ORX.ST;OREXO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORX.ST;145.69
MATRA.ST;MATRA PETROLEUM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MATRA.ST;145.17
PRLD.NGM;PROLIGHT DIAGNOSTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRLD.NGM;144.95
WTX.ST;WILSON THERAPEUTICS SHS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WTX.ST;144.79
DURC-B.ST;DUROC B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DURC-B.ST;144.73
EOS.ST;EOS RUSSIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOS.ST;144.43
A1M-TO.ST;A1M PHARMA SUBSCR OPT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M-TO.ST;143.99
FIL.ST;FILO MINING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIL.ST;143.87
XMR.ST;XMREALITY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMR.ST;143.14
VITR.ST;VITROLIFE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VITR.ST;143.13
CORE.ST;COREM PROPERTY GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE.ST;142.74
BEIA-B.ST;BEIJER ALMA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIA-B.ST;141.95
KONT.ST;KONTIGO CARE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KONT.ST;141.59
CELLNK-B.ST;CELLINK;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CELLNK-B.ST;141.17
BINV.ST;BIOINVENT INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BINV.ST;139.97
BIM.ST;BIMOBJECT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;139.64
SNM.ST;SHAMARAN PETROLEUM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SNM.ST;138.54
SPRINT.ST;SPRINT BIOSCIENCE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPRINT.ST;138.18
KABE-B.ST;KABE HUSVAGNAR B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KABE-B.ST;137.98
NOLA-B.ST;NOLATO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST;137.86
KAN.ST;KANCERA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAN.ST;137.53
IJ.ST;INTRUM JUSTITIA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IJ.ST;137.51
SAAB-B.ST;SAAB B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAAB-B.ST;137.21
SOF-B.ST;SOFTRONIC B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;137.08
LAGR-B.ST;LAGERCRANTZ GROUP B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAGR-B.ST;136.85
ALIV-SDB.ST;AUTOLIV SDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIV-SDB.ST;136.67
IVISYS.ST;IVISYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVISYS.ST;136.61
SBB-B.ST;SAMHALLSBYGGNADSBOLAGET I NORDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SBB-B.ST;136.01
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BESQ.ST;135.51
ENRO.ST;ENIRO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO.ST;135.17
VBG-B.ST;VBG B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VBG-B.ST;135.15
PALS-B.ST;PALLAS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PALS-B.ST;135.14
KAHL.ST;KAPPAHL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAHL.ST;134.97
PNVA.NGM;PAYNOVA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PNVA.NGM;134.78
SONE.ST;SONETEL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SONE.ST;134.71
ACAN-B.ST;ACANDO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;134.45
MVIR-B.ST;MEDIVIR B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MVIR-B.ST;134.34
AZN.ST;ASTRAZENECA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZN.ST;134.17
BUFAB.ST;BUFAB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST;133.87
XANO-B.ST;XANO INDUSTRI B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XANO-B.ST;133.65
PCAT.ST;PHOTOCAT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCAT.ST;133.46
EVO.ST;EVOLUTION GAMING GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EVO.ST;133.29
TRAC-B.ST;TRACTION B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRAC-B.ST;133.28
PDX.ST;PARADOX INTERACTIVE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PDX.ST;133.2
SPIFFX.ST;SPIFFX;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPIFFX.ST;133.19
NET-B.ST;NETENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NET-B.ST;132.89
MAG.ST;MAGNOLIA BOSTAD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAG.ST;132.68
BETS-B.ST;BETSSON B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BETS-B.ST;132.64
ARCOMA.ST;ARCOMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCOMA.ST;132.17
MSAB-B.ST;MICRO SYSTEMATION B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSAB-B.ST;132.07
ISR.ST;ISR IMMUNE SYSTEM REGULATION HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISR.ST;132.03
PROB.ST;PROBI AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST;131.84
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST;131.58
BERG-B.ST;BERGMAN & BEVING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST;131.46
SSAB-A.ST;SSAB A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SSAB-A.ST;130.93
SKF-A.ST;SKF A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKF-A.ST;130.89
CRED-A.ST;CREADES A;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CRED-A.ST;130.52
STW.ST;SEATWIRL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STW.ST;130.42
OASM.ST;OASMIA PHARMACEUTICAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OASM.ST;130.31
VOLO.ST;VOLATI;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO.ST;129.95
PRIME.ST;PRIME LIVING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRIME.ST;129.75
CAT-B.ST;CATELLA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST;128.8
KLOV-B.ST;KLOVERN B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-B.ST;128.7
