NAMESHORT;NAME;URL;VALUE;NAME_NORDNET
A1M.ST;A1M;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=A1M.ST;346.14;
MSAB-B.ST;MICRO SYSTEMATION B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSAB-B.ST;344.19;
BACTI-B.ST;BACTIGUARD HOLD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;343.04;
BOL.ST;BOLIDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BOL.ST;341.98;
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;341.54;
BUFAB.ST;BUFAB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BUFAB.ST;339.99;
KOBR%20MTFB;KOPPARBERGS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOBR%20MTFB;339.7;
AGRO.ST;AGROMINO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AGRO.ST;338.74;
MIC-SDB.ST;MILLICOM INTERNATIONAL CELLULAR SDR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIC-SDB.ST;338.55;
STIL.ST;STILLE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STIL.ST;337.78;
CLEM.ST;CLEMENDO GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEM.ST;337.48;
XANO-B.ST;XANO INDUSTRI B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XANO-B.ST;336.19;
43720.ST;MYCRONIC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43720.ST;333.1;
VICP-B.ST;VICTORIA PARK B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VICP-B.ST;330.37;
BURE.ST;BURE EQUITY;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BURE.ST;329.37;
TROAX.ST;TROAX GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TROAX.ST;328.11;
GCOR.ST;GAMING CORPS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GCOR.ST;327.48;
RLS.ST;RUBICON LIFE SCIENCE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RLS.ST;327.04;
CAMX.ST;CAMURUS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAMX.ST;323.01;
QLRO.ST;QLIRO GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=QLRO.ST;322.46;
OP.ST;OSCAR PROPERTIES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OP.ST;320.62;
ADVE.ST;ADVENICA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ADVE.ST;318.73;
KABE-B.ST;KABE HUSVAGNAR B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KABE-B.ST;314.32;
MOB.ST;MOBERG PHARMA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MOB.ST;314.03;
WTX.ST;WILSON THERAPEUTICS SHS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WTX.ST;312.83;
ALIG.ST;ALIMAK GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIG.ST;310.51;
IVSO.ST;INVISIO COMMUNICATIONS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVSO.ST;310.46;
FPAR.ST;FAST PARTNER;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR.ST;309.79;
HEMC.ST;HEMCHECK SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST;309.39;
VSSAB-B.ST;VIKING SUPPLY SHIPS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VSSAB-B.ST;306.93;
FOI-B.ST;FENIX OUTDOOR INTERNATIONAL;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOI-B.ST;305.21;
TASTE.ST;MYTASTE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TASTE.ST;304.29;
AZA.ST;AVANZA BANK HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;302.76;
BAYN.ST;BAYN EUROPE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BAYN.ST;302.68;
OPUS.ST;OPUS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=OPUS.ST;301.13;
PRIME.ST;PRIME LIVING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRIME.ST;300.03;
EKTA-B.ST;ELEKTA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EKTA-B.ST;298.32;
ETX.ST;ETRION;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ETX.ST;297.04;
HMS.ST;HMS NETWORKS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMS.ST;296.64;
ELAN-B.ST;ELANDERS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELAN-B.ST;294.81;
COGS.ST;COGNOSEC;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST;292.89;
FAG.ST;FAGERHULT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FAG.ST;292.78;
SDOS.ST;SCANDIDOS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SDOS.ST;291.66;
STAR-B.ST;STARBREEZE B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STAR-B.ST;291.09;
SAS.ST;SAS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAS.ST;289.61;
COLL.ST;COLLECTOR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COLL.ST;288.97;
NDX.ST;NORDAX GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NDX.ST;286.66;
LUC.ST;LUCARA DIAMOND;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUC.ST;286.18;
LAGR-B.ST;LAGERCRANTZ GROUP B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAGR-B.ST;283.76;
43825.ST;I.A.R SYSTEMS GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=43825.ST;282.88;
LOOM-B.ST;LOOMIS B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LOOM-B.ST;281.61;
DCAR-B.ST;D CARNEGIE & CO B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DCAR-B.ST;281.17;
ITAB-B.ST;ITAB SHOP CONCEPT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ITAB-B.ST;280.62;
BIOG-B.ST;BIOGAIA B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIOG-B.ST;279.81;
COOR.ST;COOR SERVICE MANAGEMENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COOR.ST;279.09;
ENRO-PREF.ST;ENIRO PRF;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO-PREF.ST;278.69;
SVIK.ST;STUDSVIK;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVIK.ST;278.19;
GHP.ST;GHP SPECIALTY CARE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST;276.87;
INDT.ST;INDUTRADE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDT.ST;276.26;
VIT-B.ST;VITEC SOFTWARE GROUP B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VIT-B.ST;275.91;
47307.ST;NORDIC LEISURE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;273.84;
ACAN-B.ST;ACANDO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;273.41;
NGQ.ST;NGEX RESOURCES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NGQ.ST;272.49;
SEMC.ST;SEMCON;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEMC.ST;269.72;
