COGS.ST;COGNOSEC;BUY;0.42;0.46;0.42;0.45;4.65;350,288
COIC.ST;CONCENTRIC;STAY LONG;122;126;122;124.75;1.63;17,309
COLL.ST;COLLECTOR;STAY SHORT;90.5;91.05;90;90.4;-0.06;14,599
COMH.ST;COM HEM HOLDING;STAY LONG;117;120.6;115.6;120.2;1.52;382,987
COMPI.NGM;COMPUTER INNOVATION I VAXJO;BUY;0.243;0.244;0.243;0.244;0.41;20,7
CONS-B.ST;CONSILIUM B;STAY SHORT;64.5;64.75;63.25;64;-0.78;5,034
COOR.ST;COOR SERVICE MANAGEMENT;STAY LONG;55;57.75;55;57.5;1.77;15,527
COPP-B.ST;COPPERSTONE RESOURCE;STAY IN CASH;2.02;2.1;1.98;2.04;3.03;2,686,017
CORE.ST;COREM PROPERTY GROUP;STAY IN CASH;47;47.1;46.7;47.1;0.21;2,052
CORE-PREF.ST;COREM PROPERTY GROUP PRF;STAY LONG;149.75;150.5;149.5;149.75;0.17;103,584
CRAD-B.ST;C-RAD B;STAY LONG;36;38.6;35.9;38.3;6.69;528,972
CRED-A.ST;CREADES A;STAY LONG;275;281;275;280.5;3.13;2,31
CRWN;CROWN ENERGY;BUY;4.69;4.94;4.68;4.94;14.88;109,857
CTM.ST;CATENA MEDIA;STAY LONG;88.75;93.5;88.75;93.25;4.19;99,862
CTT.ST;CTT SYSTEMS;STAY LONG;138.5;142.25;138;139.75;0.9;9,136
CYXO.ST;CYXONE;STAY SHORT;6.9;7;6.8;7;1.45;40,938
DCAR-B.ST;D CARNEGIE & CO B;STAY SHORT;111.75;113.25;111.75;112.75;0.22;29,466
DDM.ST;DDM HOLDING;STAY IN CASH;47.6;49;47.5;49;1.03;11,904
DEDI.ST;DEDICARE AB;STAY LONG;136.75;138;135.25;136.5;0;5,779
DEFL-B.ST;DEFLAMO B;STAY SHORT;0.451;0.489;0.431;0.452;0.44;75,244
DELARK.ST;DELARKA HOLDING;STAY LONG;113.75;114.75;113.75;114;0;11,039
DIAH.ST;DIADROM HOLDING;STAY LONG;16.3;16.9;16;16.5;0.61;7,455
DIGN.ST;DIGNITANA;STAY IN CASH;14;14.4;13;14.05;0.36;25,153
DIOS.ST;DIOS FASTIGHETER;STAY LONG;48.8;48.8;48.4;48.5;-0.21;157,407
DIST.ST;DISTIT;STAY SHORT;50;51;48.3;51;0;5,614
DIVI-B.NGM;DIVIDEND SWEDEN;STAY SHORT;0.45;0.464;0.448;0.45;0.45;161,388
DMYD-B.ST;DIAMYD MEDICAL B;STAY LONG;3;3;2.94;2.95;-1.67;29,885
DOM.ST;DOMETIC GROUP;STAY LONG;66.8;68.85;66.45;68.5;3.63;1,314,994
DOME.ST;DOME ENERGY;STAY LONG;0.54;0.57;0.53;0.55;3.77;4,147,058
DORO.ST;DORO;STAY LONG;49.8;50;49;49.7;0.2;22,384
DOXA.ST;DOXA;STAY LONG;2.95;3;2.72;2.85;5.56;110,388
DRIL.ST;DRILLCON;STAY LONG;6.55;6.7;6.35;6.7;1.52;56,202
DUNI.ST;DUNI;STAY IN CASH;121;122;121;122;0.83;32,492
DURC-B.ST;DUROC B;STAY SHORT;27.3;27.3;26.6;27;-1.1;4,608
DUST.ST;DUSTIN GROUP;STAY LONG;66.75;66.75;66;66.5;-0.37;142,529
EAST.ST;EASTNINE;STAY LONG;67;67.25;66.75;67;0;54,972
EDGE.ST;EDGEWARE;STAY LONG;36.2;36.2;35.5;36;0;8,278
EFFP.ST;EFFNETPLATTFORMEN;STAY IN CASH;14.8;15.5;14.8;15.4;0;207
EKTA-B.ST;ELEKTA B;STAY LONG;82.25;84.05;82.25;83.35;1.34;1,589,338
ELAN-B.ST;ELANDERS B;STAY IN CASH;97.5;99;96.75;97;-2.02;5,311
ELEC.ST;ELECTRA GRUPPEN;STAY LONG;61.75;61.75;60;60;-1.64;1,244
ELN.ST;ELLEN;STAY SHORT;0.199;0.199;0.18;0.193;2.12;16,65
ELOS-B.ST;ELOS MEDTECH;STAY LONG;86.5;88;86.5;86.5;0.29;2,483
ELTEL.ST;ELTEL;STAY LONG;24.1;26.2;24;25.5;7.14;715,184
ELUX-A.ST;ELECTROLUX A;STAY LONG;295.4;303;295.4;303;1.54;132
ELUX-B.ST;ELECTROLUX B;STAY LONG;290.2;292.4;288.7;290.5;0.55;565,129
ENDO.ST;ENDOMINES;STAY SHORT;16.4;16.6;16.2;16.6;1.84;10,89
ENEA.ST;ENEA;BUY;73.5;74;72.5;74;0.68;3,083
ENERS.ST;ENERSIZE;STAY LONG;7.1;7.2;6.9;7.15;0.7;45,808
ENG.ST;INTERNATIONELLA ENGELSKA SKOLAN I SV;STAY IN CASH;69.75;70.5;69.5;70;0.36;7,131
ENQ.ST;ENQUEST;STAY SHORT;2.73;2.73;2.372;2.56;-3.69;7,822,350
ENRO.ST;ENIRO;STAY LONG;0.3075;0.3598;0.3075;0.329;11.53;56,718,380
ENRO-PREF.ST;ENIRO PRF;STAY IN CASH;189.1;202;189;198;6.17;3,511
ENZY.ST;ENZYMATICA;STAY LONG;2.89;2.89;2.88;2.88;-0.35;5,96
EOID.NGM;EYEONID GROUP;STAY LONG;11.5;11.7;11;11.6;4.5;967,14
EOLU-B.ST;EOLUS VIND B;STAY LONG;21.6;21.8;21.4;21.6;0;34,812
EOS.ST;EOS RUSSIA;STAY IN CASH;14.8;14.95;14.55;14.6;-0.68;9,915
EPIS-B.ST;EPISURF MEDICALORD;STAY IN CASH;6.2;6.4;6.1;6.25;-3.1;35,99
ERIC-A.ST;ERICSSON A;BUY;46.9;47.25;46.5;47;0.21;74,254
ERIC-B.ST;ERICSSON B;STAY SHORT;46.63;46.74;46.39;46.6;0.06;10,308,320
ESSITY-A.ST;ESSITY;STAY IN CASH;219.9;222.5;219.9;220.7;0.36;2,595
ESSITY-B.ST;ESSITY;STAY IN CASH;221;222.6;220.4;221.5;0.41;834,084
ETX.ST;ETRION;STAY LONG;1.86;1.9;1.84;1.9;2.7;94,916
EVO.ST;EVOLUTION GAMING GROUP;BUY;478.7;488;476;484.5;0.66;40,573
EWRK.ST;EWORK GROUP;STAY LONG;98.5;99.5;97.5;99;0.51;12,599
EXPRS2.ST;EXPRES2ION BIOTECH HOLDING;STAY IN CASH;5.25;5.25;5.25;5.25;8.47;80
FABG.ST;FABEGE AB;STAY LONG;158.8;160.5;158.8;159;-0.25;252,224
FAG.ST;FAGERHULT;STAY LONG;106;108.25;105.75;108;3.1;10,823
FEEL.ST;FEELGOOD SVENSKA;STAY SHORT;2.86;2.9;2.81;2.82;-1.4;39,818
FIL.ST;FILO MINING;STAY LONG;14.55;15.5;14.55;15.1;-1.31;11,185
FING-B.ST;FINGERPRINT CARDS B;STAY LONG;36.53;37.06;35.79;36.08;-0.69;7,292,050
FIRE.ST;FIREFLY;STAY LONG;38;39.9;38;39;-1.02;1,649
FMM-B.ST;FM MATTSSON MORA GROUP;STAY SHORT;80.25;81;80.25;80.5;-0.62;1,6
FNMA-PREF.ST;FNMA PREF PRF;STAY LONG;1225;1225;1216;1225;0.74;163
FOI-B.ST;FENIX OUTDOOR INTERNATIONAL;BUY;809;818;806;815;0.74;917
FOOT-PREF.ST;FOOTWAY GROUP PRF;STAY LONG;113.25;113.25;112;112;0;1,165
FPAR.ST;FAST PARTNER;STAY LONG;145;145;142.5;142.5;-0.35;3,766
FPAR-PREF.ST;FASTPARTNER PRF;STAY LONG;341.5;344.5;341.5;344.5;0.88;1,585
FPIP.ST;FORMPIPE;STAY IN CASH;14.7;14.7;14.6;14.65;-0.34;12,679
