NAMESHORT;URL;VALUE;NAME
KIND-SDB.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KIND-SDB.ST;257.22;test169
KINV-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-A.ST;254.7;test170
WTX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WTX.ST;254.46;test171
PROF-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROF-B.ST;254.4;test172
PCAT.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PCAT.ST;254.26;test173
ICTA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICTA-B.ST;254.14;test174
JM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JM.ST;252.67;test175
GHUS-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHUS-B.ST;252.12;test176
KAHL.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAHL.ST;251.68;test177
SVIK.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVIK.ST;251.32;test178
AM1S.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;251.17;test179
RATO-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RATO-A.ST;249.7;test180
HLDX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HLDX.ST;248.3;test181
IRLAB-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IRLAB-A.ST;247;test182
GOMX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GOMX.ST;246.26;test183
SAAB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAAB-B.ST;246.21;test184
COMPI.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMPI.NGM;245.07;test185
LAGR-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAGR-B.ST;244.54;test186
EWRK.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EWRK.ST;244.52;test187
ORES.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORES.ST;241.95;test188
MVIR-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MVIR-B.ST;240;test189
VOLV-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-B.ST;239.34;test190
LUPE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUPE.ST;239.2;test191
NOLA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOLA-B.ST;238.96;test192
SBB-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SBB-B.ST;238.36;test193
ENEA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST;237.76;test194
DIST.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIST.ST;237.46;test195
MSC-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MSC-B.ST;234.85;test196
CANTA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;233.54;test197
NEWA-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NEWA-B.ST;233.29;test198
STE-R.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STE-R.ST;233.01;test199
SEZI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SEZI.ST;231.88;test200
XACT-BULL-2.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BULL-2.ST;231.58;test201
SKIS-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SKIS-B.ST;231.41;test202
CONS-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CONS-B.ST;231.38;test203
RECI-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RECI-B.ST;230.54;test204
KLOV-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-A.ST;230.47;test205
LIDDS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIDDS.ST;230.44;test206
SVOL-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SVOL-B.ST;230;test207
GARO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GARO.ST;229.7;test208
REJL-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=REJL-B.ST;229.62;test209
NOBI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOBI.ST;229.38;test210
47307.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=47307.ST;228.76;test211
MIND.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MIND.ST;227.39;test212
TRAC-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=TRAC-B.ST;227.22;test213
CINN.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST;226.22;test214
CLEANT-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEANT-A.ST;225.73;test215
LLSW-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LLSW-B.ST;224.97;test216
IS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IS.ST;224.89;test217
SAGA-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-A.ST;224.3;test218
XVIVO.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XVIVO.ST;224.21;test219
NOTE.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST;222.7;test220
PLED.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PLED.ST;222.28;test221
CAT-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST;222.24;test222
ODD.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ODD.ST;222.21;test223
THQN-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=THQN-B.ST;221.63;test224
STE-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STE-A.ST;220.98;test225
CAPAC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPAC.ST;220.87;test226
LUND-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUND-B.ST;220.45;test227
STRAX.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=STRAX.ST;220.41;test228
NIL-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NIL-B.ST;220.27;test229
VBG-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VBG-B.ST;218.94;test230
EOS.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOS.ST;217.63;test231
INVE-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INVE-B.ST;217.21;test232
ACM.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACM.ST;216.87;test233
COIC.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COIC.ST;215.67;test234
VERI.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VERI.ST;215.61;test235
ALON-B.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALON-B.NGM;215.11;test236
NIBE-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NIBE-B.ST;214.09;test237
NGQ.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NGQ.ST;213.87;test238
INDU-C.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDU-C.ST;213.54;test239
NOBINA.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOBINA.ST;213.47;test240
SOSIL.NGM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOSIL.NGM;213.44;test241
SWEC-B.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWEC-B.ST;213.18;test242
KAN.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAN.ST;212.51;test243
VOLV-A.ST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLV-A.ST;212.17;test244
